SAAT,SICAKLIK,NEM,TARİH
12:50:11,23.04,41.81,2024-12-13
12:50:13,23.00,42.38,2024-12-13
12:50:15,23.01,42.42,2024-12-13
12:50:17,23.01,42.21,2024-12-13
12:50:19,23.01,41.97,2024-12-13
12:50:21,23.00,41.70,2024-12-13
12:50:23,23.00,41.44,2024-12-13
12:50:25,23.03,41.29,2024-12-13
12:50:27,23.01,41.19,2024-12-13
12:50:29,23.00,41.09,2024-12-13
12:50:31,23.00,41.05,2024-12-13
12:50:33,23.01,41.02,2024-12-13
12:50:35,23.01,41.00,2024-12-13
12:50:37,23.01,40.95,2024-12-13
12:50:39,23.01,40.96,2024-12-13
